Korean,English
이다,to be
에,to
고,go
다,all
것,thing
하다,do
도,do
게,crab
들,field
그,that
있다,have
에서,at
지,ji
있다,have
되다,to be
가다,go
기,energy
나,me
이,this
없다,none
수,number
보다,see
않다,not
말,word
사람,Person
하다,do
한,one
는데,To be
오다,come
구,nine
우리,we
아니다,not
다,all
겠,Yes
때,at the time
만,only
그,that
그렇다,Yes
던,Dungeon
같다,same
주다,give
그러다,Then
다는,All
안,not
아,ah
보다,see
그것,that
지,ji
그런,then
또,In addition
일,Work
년,year
알다,know
에게,to
그래,okay
내,my
지다,lose
다,all
까지,Until
집,Home
대하다,treat
이렇다,Like this
등,etc.
가지다,have
나오다,come out
살다,live
좋다,good night
지만,but
어,uh
씨,Seed
두,two
다고,All
받다,receive
먹다,To eat
말하다,say
뭐,What
이,this
때문,because
잘,well
다가,Approach
그래서,therefore
데,place
모르다,I do not know
더,more
크다,Big
좀,A little
이런,this
뭐,What
주다,give
위하다,for
소리,sound
일,Work
번,th
나다,It's me
너,you
이것,this
많다,many
갖다,have
들다,Hold
그러나,But
어떻다,how
저,I
생각하다,Think
죽다,die
여기,here
못,pond
생각,think
문제,Problem
놓다,put
죠,Yeah
듣다,listen
앞,front
자기,self
고,go
얘기,story
속,inside
인제,Inje
부터,from
못하다,Can not do it
어떤,which
저,I
중,middle
많이,A lot of
처럼,like
왜,why
돈,money
명,number of people
여자,Woman
지금,now
어디,where
만들다,to make
이제,now
뒤,back
들어가다,enter
개,dog
보다,see
그냥,just
다시,again
그리고,and
자,ruler
오다,come
원,one
거기,there
거든,That
따르다,follow
말다,roll
쓰다,write
백,hundred
전,I'm
월,month
나가다,go out
날,me
참,Oh yeah
근데,by the way
누구,who
경우,case
무슨,what
예,Yes
아이,Child
다음,next
놈,bloke
하나,one
다른,Different
싶다,want
눈,Eye
내다,Pay
잡다,Catch
앉다,Sit
들다,Hold
두,two
한테,to
막,membrane
님,sir
손,hand
단,only
안,not
버리다,throw away
무엇,what
시간,hour
보이다,show
물,water
정도,degree
만,only
한국,korea
자신,Myself
천,cloth
가다,go
이거,this
음,Well
응,yes
그런데,By the way
어머니,mother
사회,Social
치다,hit
만나다,meet
어느,which
찾다,find
놓다,put
사다,buy
서다,stand
길,road
그때,at that time
쓰다,write
몇,some
도록,so that
지나다,pass by
네,yes
같이,together
가지,Branch
얼굴,face
아버지,father
서울,Seoul
위,stomach
일본,Japan
마음,mind
없이,without
하나,one
오늘,today
부르다,calling
애,baby
아주,very
나라,country
는지,Or
지금,now
그녀,she
더니,By
미국,USA
너무,Too
요,yo. this
사실,actually
삼,three
남자,man
자리,Seat
느냐,Yes
방,room
시,city
짓다,build
쪽,side
가지다,have
점,dot
아니,no
곳,place
몸,body
통하다,pass
그거,it
모두,all
후,after
들어오다,come in
묻다,to ask
두다,put
정부,goverment
는가,Is it
아들,son
제,My
동안,During
터,place
그러니까,So
거나,Or
여러,Various
분,minute
보내다,send
함께,together
시작하다,start
친구,friend
바로,Right away
술,alcohol
가장,most
처음,first
무녀,shaman
모든,every
는데,To be
이야기,story
선생님,Teacher
께,to
이름,name
문,door
밤,night
세,count
뿐,only
말다,roll
관계,relation
세계,world
머리,head
이상,More than
내리다,get off
당신,you
이번,this time
타다,ride
에다,gouge
아직,yet
경제,economy
하고,do
인간,human
구,nine
산,mountain
학교,school
십,ten
거,thing
그럼,then
사이,between
줄,line
생기다,to happen
자다,sleep
보이다,show
느끼다,feel
정말,really
뜻,meaning
딱,Perfect
말씀,words
다니다,to go
어렵다,difficult
떨어지다,drop
일어나다,Rise
자,ruler
세상,world
의하다,be due to
그러면,then
글,writing
밖,Outside
교육,education
맞다,right
옛날,A long ago
열다,open
밖에,outside
모습,figure
적,enemy
요,yo. this
밥,rice
내다,Pay
구서,Old book
대통령,president
다르다,different
웃다,laugh
에,to
입다,put on
살,fat
불,fire
지역,region
엄마,Mom
넣다,put in
중국,China
남다,left
남,other
북한,North Korea
입,mouth
딸,daughter
이러하다,Do this
둘,two
나타나다,to appear
내용,Contents
책,book
시대,era
얻다,get
열,Heat
시,city
해,sun
생활,life
니,you
문화,culture
나무,tree
학생,student
기자,reporter
억,100 million
방법,Way
국민,nation
모양,shape
중요하다,It is important
밝히다,clarify
옷,dress
야,hey
얘기하다,talk
먼저,first
조사,inspection
오르다,climb
울다,cry
가운데,middle
놀다,play
특히,Especially
구나,Clever
힘,strength
예,Yes
저녁,dinner
아무,nothing
운동,Exercise
차,car
대학,university
채,stick
땅,earth
분,minute
팔다,sell
지내다,stay
이미,already
국가,country
읽다,To read
조사자,investigator
다면,Plane
밑,bottom
물론,of course
및,and
꼭,please
의미,meaning
나다,It's me
드리다,give
못하다,Can not do it
요,yo. this
일,Work
끝,End
얼마나,how much
듯,As if
돌아가다,return
정치,politics
새롭다,new
마다,every
부분,part
높다,high
비,rain
상황,situation
하루,day
이러다,Like this
전화,telephone
떠나다,leave
과정,process
지,ji
오,Five
사랑,love
교수,professor
자,ruler
옆,side
기업,Enterprise
께서,from
넘다,exceed
대,big
거의,almost
이유,reason
역시,Also
란/이란,Ran/Iran
올라가다,Go up
혼자,alone
간,liver
올리다,raise
아침,morning
연구,Research
달,moon
이제,now
시장,market
