Korean,Polish
오,pięć
이,ząb/zęby
아우,młodsze rodzeństwo
아기,dziecko
오이,ogórek
구두,buty (eleganckie)
다리,"nogi, noga / most"
라디오,radio
고기,mięso
나,ja (mniej oficjalnie)
저,ja (oficjalnie)
어머니,matka
바보,głupek
다,wszystko
소리,dźwięk
마시다,pić
지도,mapa
자,trzymaj
모자,czapka
가수,piosenkarz
나무,drzewo
머리,"głowa, włosy"
바나나,banan
바지,spodnie
소,krowa
아이,dziecko
아버지,ojciec
허리,talia
지하,podziemie
야구,basketball
야자수,palma
이야기,rozmowa
여자,kobieta
남자,mężczyzna
벼,ryż (roślina)
혀,język
요가,joga
요리,gotowanie
교수,profesor
유리,szkło
휴지,"husteczki, papier toaletowy"
우유,mleko
우리,"nasz, nasze"
거미,pająk
다리미,żelazko
나라,kraj
누구,"kto, ktoś"
비누,mydło
버스,bus
사자,lew
소나무,sosna
자주,często
호수,jezioro
바구니,"kosz, koszyk"
보기,patrzenie
보다,patrzeć
나리,"panie, lilia"
카드,karta
코,nos
키,wzrost
타조,struś
토마토,pomidor
투우사,torreador
파리,"paryż, mucha"
포도,winogrono
우표,znaczek
차,"herbata, samochód"
치마,spódniczka
고추,ostra papryczka gochu
커피,kawa
코트,płaszcz
기차표,bilet na pociąg
소파,sofa
피,krew
코피,krew z nosa
추석,Chuseok
까치,sroka
꼬리,ogon
코끼리,słoń
따다,zbierać
뜨다,"pływać, unosić się"
머리띠,opaska na włosy
뿌리,korzeń
뼈,kość
아빠,tata
싸다,być tanim
쓰다,pisać
아저씨,starszy pan
아주머니,starsza pani
아줌마,starsza pani
짜다,być słonym
찌다,gotować na patze
가짜,fałszywka
뽀뽀,buziak
아파,boli
아프다,boleć
개미,mrówka
배,"gruszka, brzuch, statek"
새,ptak
해,słońce
새소리,ćwierkot ptaków
게,krab
세수,mycie twarzy
그네,huśtawka
카메러,kamera
얘기,rozmowa
예쁘다,być pięknym
서예,kaligrafia
시계,zegar
과자,przekąska
와이셔츠,koszula
화가,malarz
사과,"jabłko, przeprosiny"
뭐,co
줘요,dawać coś
더워요,gorąco
추워요,"gorąco mi, jest gorąco"
돼지,"zimno mi, jest zimno"
왜,czemu (swobodnie)
왜요,czemu (oficjalnie)
네,tak (swobodnie)
예,tak (oficjalnie)
웨이터,kelner
스웨터,sweter
쇠고기,mięso z krowy
외우다,uczyć się (na pamięc)
회사,firma
두뇌,mózg
귀,ucho
쉬다,odpoczywać
쥐,mysz
가위,nożyce
바위,kamień
보,papier
위,na górze
아래,na dole
의사,lekarz
의자,krzesło
회의,spotkanie
희망,nadzieja
고마워요,dziękuję
벽,ściana
